ID;Categoria;Caso de teste;Resultado;Evidencia / medicao;Observacao
"TF01";"Funcional";"Cadastro: criar conta nova";"PASSA";"HTTP 201 · precisaConfirmar=true · sem token=true · código dev=364718";""
"TF02";"Funcional";"Confirmação de cadastro por código";"PASSA";"código errado → HTTP 400 (""Código incorreto. Tentativas restantes: 4.""), código certo → HTTP 200, status=""ativo"", token emitido=true";""
"TF03";"Funcional";"Login bloqueado enquanto e-mail não confirmado";"PASSA";"HTTP 403 · Confirme seu e-mail antes de entrar. Verifique o código enviado.";""
"TF04";"Funcional";"Login com conta confirmada";"PASSA";"HTTP 200 · admin=false · expira em 7200s";""
"TF05";"Funcional";"Recuperação de senha por código";"PASSA";"reset HTTP 200, login senha antiga HTTP 401 (esperado 401), senha nova HTTP 200 (esperado 200)";""
"TF06";"Funcional";"Acesso ao painel do cliente (perfil + pedidos)";"PASSA";"perfil HTTP 200 (Cliente Teste), histórico HTTP 200 (0 pedidos), senhaHash no retorno=false";""
"TF07";"Funcional";"Busca de produtos por nome";"ATENCAO";"""ração"" (com acento) → 3 itens, mas ""racao"" (sem acento) → 0. Busca não normaliza acentos.";""
"TF08";"Funcional";"Filtro por categoria";"PASSA";"?categoria=racao → 2 itens, todos da categoria [racao]";""
"TF09";"Funcional";"Filtro por faixa de preço";"PASSA";"?precoMin=100&precoMax=200 → 3 itens, preços [189.9, 149, 129.9] todos no intervalo=true";""
"TF10";"Funcional";"Filtro combinado + paginação";"PASSA";"?especie=gato&porPagina=3 → página 1/3, 3 de 7 itens";""
"TF11";"Funcional";"Carrinho: adicionar itens";"PASSA";"2 produtos distintos no carrinho, 3 unidades, total 404.7";""
"TF12";"Funcional";"Carrinho: alterar quantidade";"PASSA";"p01 quantidade 2 → 5, subtotal do item 949.5";""
"TF13";"Funcional";"Carrinho: remover item";"PASSA";"após remover p05: 1 item restante";""
"TF14";"Funcional";"Carrinho: bloquear quantidade acima do estoque";"PASSA";"pedir 999 un. de item com estoque baixo → HTTP 409 · ""Estoque insuficiente. Disponível: 9.""";""
"TF15";"Funcional";"Checkout: compra do início ao fim";"PASSA";"pedido PED-mtsf6tjd-0cd32 criado (HTTP 201), subtotal 949.5 + frete 0.34 = total 949.84, status ""aguardando pagamento"", Pix gerado=true";""
"TF16";"Funcional";"Painel administrativo: cadastrar / atualizar / remover produto";"PASSA";"admin cria (HTTP 201) · atualiza preço 42,5→39.9 · remove (HTTP 200) e some do catálogo público (HTTP 404), cliente comum tentando cadastrar → HTTP 403 (esperado 403)";""
"TI01";"Integração";"Cálculo de frete por CEP (valor e prazo)";"PASSA";"12080-000 (Taubaté (sede)): 0.6 km · frete R$ 0.34 / 1 dia(s)  |  12030-000 (Taubaté centro): 0.6 km · frete R$ 0.34 / 1 dia(s)  |  12400-000 (Pindamonhangaba): 14.5 km · frete R$ 8.53 / 2 dia(s)  |  12245-000 (São José dos Campos): 38.3 km · frete R$ 22.6 / 3 dia(s)  |  12520-000 (Guaratinguetá): 43.6 km · FORA DA ÁREA  |  01310-100 (São Paulo capital): 124.8 km · FORA DA ÁREA  |  20040-002 (Rio de Janeiro): 244.2 km · FORA DA ÁREA  |  00000 (CEP inválido): HTTP 400 · ""CEP inválido. Informe os 8 dígitos.""";""
"TI02";"Integração";"Gateway de pagamento — cobrança Pix";"PASSA";"pagamento PAY-mtsf6tte-6bbf7 · método pix · status ""pendente"" · copia-e-cola presente=true";""
"TI03";"Integração";"Gateway de pagamento — checkout de cartão";"PASSA";"método cartao · URL de checkout=https://pagamento.exemplo/checkout/PAY-mtsf6tu6-3aa08";""
"TI04";"Integração";"Webhook de pagamento aprova o pedido";"PASSA";"webhook approved → HTTP 200, pedido passou de ""aguardando pagamento"" para ""em separação"", rastreio gerado=true";""
"TI05";"Segurança";"Webhook rejeita assinatura inválida";"PASSA";"assinatura falsa → HTTP 401 (esperado 401)";""
"TI06";"Integração";"Webhook idempotente (não processa o mesmo evento 2x)";"PASSA";"reenvio do mesmo evento → jaProcessado=true";""
"TI07";"Integração";"E-mail transacional — confirmação de cadastro";"PASSA";"7 e-mail(s) gerados em data/emails/, assunto ""Confirme seu cadastro"" presente=true";""
"TI08";"Integração";"E-mail transacional — alteração de senha";"PASSA";"assunto ""Código para redefinir sua senha"" presente=true";""
"TI09";"Integração";"E-mail transacional — confirmação de COMPRA";"FALHA";"assuntos gerados: [Confirme seu cadastro na Focinho Feliz | Confirme seu cadastro na Focinho Feliz | Código para redefinir sua senha — Focinho Feliz | Confirme seu cadastro na Focinho Feliz | Confirme seu cadastro na Focinho Feliz | Confirme seu cadastro na Focinho Feliz | Código para redefinir sua senha — Focinho Feliz]. Nenhum e-mail de confirmação de compra: o sistema só envia e-mail para código de cadastro e de redefinição de senha. O pedido é criado sem notificar o cliente por e-mail.";""
"TS01";"Segurança";"Certificado SSL / HTTPS ativo";"ATENCAO";"servidor atende apenas em HTTP (http://localhost:3000). HTTPS=false. Sem TLS/redirecionamento nem HSTS — deve ser resolvido no deploy (proxy reverso / plataforma).";""
"TS02";"Segurança";"Senhas e dados sensíveis não expostos";"PASSA";"resposta da API sem senhaHash=true, senha no banco armazenada como hash scrypt=true, códigos de verificação também hasheados=true";""
"TS03";"Segurança";"Dados de cartão não são coletados nem armazenados";"PASSA";"o sistema não pede número de cartão/CVV, para cartão ele apenas devolve uma URL de checkout do gateway (tokenização fora do e-commerce)";""
"TS04";"Segurança";"Token JWT com assinatura adulterada é rejeitado";"PASSA";"requisição com assinatura trocada → HTTP 401 (esperado 401)";""
"TS05";"Segurança";"Cabeçalhos HTTP de segurança";"ATENCAO";"x-powered-by removido=true, ausentes: content-security-policy, strict-transport-security, x-content-type-options, x-frame-options. Recomendado adicionar (ex.: helmet).";""
"TS06";"Segurança";"Proteção contra força bruta no login (rate limiting)";"ATENCAO";"12 tentativas seguidas de login → status 401. Sem limite de tentativas por IP no login.";""
"TS07";"Segurança";"Código de verificação no corpo da resposta (modo dev)";"ATENCAO";"cadastro → HTTP 201, campo ""codigoDev"" no JSON=""463901"". Sem SMTP a API entrega o código na resposta para facilitar o teste, precisa estar comprovadamente desligado em produção (só ocorre quando SMTP não está configurado).";""
"TU01";"Usabilidade";"Responsividade (mobile e desktop)";"PASSA";"<meta viewport>=true, 2 breakpoints @media(max-width) no CSS, prefers-reduced-motion tratado=true. (Verificação visual em dispositivo real recomendada.)";""
"TU02";"Usabilidade";"Acessibilidade básica";"PASSA";"lang=""pt-BR""=true, link ""pular para o conteúdo""=true, 25 atributos ARIA no HTML";""
"TU03";"Desempenho";"Tempo de carregamento das páginas principais";"PASSA";"Home (HTML): 9.0 ms (méd.) · 18.6 KB  |  CSS: 11.8 ms (méd.) · 24.2 KB  |  JS principal: 18.6 ms (méd.) · 29.8 KB  |  API catálogo: 7.4 ms (méd.) · 4.0 KB  |  API serviços: 10.4 ms (méd.) · 1.7 KB  →  mais lento: 19 ms (limite: 3000 ms). Medição local, sem rede.";""
